"country","yearAC","totalAC","yearAP","rateper1000AP","yearCL","infoCL","totalCL"
"Lao People's Democratic Republic","2016",26.4,"2016",83.4,"2017","5 to 17 years old",28.2
"Latvia","2016",65.3,"2017",16.1,NA,NA,NA
"Lebanon","2016",3,"2018",13.3,NA,NA,NA
"Lesotho","2016",10,"2013",94,"2018","5 to 17 years old",13.9
"Liberia","2016",18.7,"2015",150.3,"2010","5 to 17 years old",14
"Libya","2016",0.1,"2013",10.9,NA,NA,NA
"Lithuania","2016",70.6,"2017",12.6,NA,NA,NA
"Luxembourg","2016",86.4,"2017",4,NA,NA,NA
"Madagascar","2016",12,"2014",152,NA,NA,NA
"Malawi","2016",14,"2015",137.6,"2014","5 to 17 years old",19.4
"Malaysia","2016",17.5,"2017",9.3,NA,NA,NA
"Maldives","2016",3.8,"2017",8.9,NA,NA,NA
"Mali","2016",12.9,"2017",164,"2017","6 to 17 years old",13.2
"Malta","2016",49.4,"2017",12.5,NA,NA,NA
"Marshall Islands",NA,NA,"2011",84.5,NA,NA,NA
"Mauritania","2016",0.5,"2014",84,"2015","5 to 17 years old",14
"Mauritius","2016",19.6,"2018",24,NA,NA,NA
"Mexico","2016",28.7,"2018",70.5,"2017","5 to 17 years old",4.7
"Micronesia (Federated States of)","2016",8.5,"2009",44,NA,NA,NA
"Mongolia","2016",20.4,"2018",32.6,"2018","5 to 17 years old",14.7
"Montenegro","2016",40.6,"2018",10,"2013","5 to 17 years old",9.4
"Morocco","2016",1.3,"2017",19,NA,NA,NA
"Mozambique","2016",12.5,"2016",180,NA,NA,NA
"Myanmar","2016",16.2,"2015",28,"2015","5 to 17 years old",9.9
"Namibia","2016",18.7,"2016",63.9,NA,NA,NA
"Nauru","2016",12.8,"2015",94,NA,NA,NA
"Nepal","2016",17.1,"2015",88.2,"2014","5 to 17 years old",21.7
"Netherlands","2016",60.9,"2017",2.9,NA,NA,NA
"New Zealand","2016",63.8,"2018",13.8,NA,NA,NA
"Nicaragua","2016",20.5,"2009",92,NA,NA,NA
"Niger","2016",11.8,"2016",154,"2012","5 to 14 years old",34.4
"Nigeria","2016",37.3,"2017",106,"2017","5 to 17 years old",31.5
"Niue","2016",20.9,"2011",20,NA,NA,NA
"Norway","2016",68.8,"2017",2.9,NA,NA,NA
"Oman","2016",3.3,"2018",11.7,NA,NA,NA
"Pakistan","2016",0.6,"2016",46,"2018","10 to 17 years old",12.8
"Palau",NA,NA,"2017",33.8,NA,NA,NA
